stop	latitude	longitude
Jakuszyce,CLO	50.81474	15.43002
Szklarska Poręba,Bieg Piastóv	50.81468	15.42983
Szklarska Poręba,Huta	50.82666	15.4971
Szklarska Poręba,Górna	50.83268	15.51883
Telenesti,aut.nádr.	47.50443	28.36775
Ráby,křižovatka	50.07063	15.80201
Pardubice,Fáblovka	50.05956	15.77462
Bílá,Konečná	49.45334	18.52316
Kraków,Airport	50.07086	19.80051
Botosani,autogara	47.75293	26.64396
Hradec Králové,Charbuzice křižovatka	50.22442	15.75035
Hradec Králové,Charbuzice	50.22442	15.75035
Hradec Králové,STĚŽÍRKY	50.22476	15.73754
Hradec Králové,Stěžery CIS	50.21602	15.74792
Hradec Králové,Stěžery zastávka	50.21202	15.75557
Hradec Králové,Stěžery kostel	50.21455	15.75023
Halenkov,Břežitá,konečná	49.3142	18.1845
Berlin,Alexanderplatz	52.5232	13.41453
Pardubice,Nové Srnojedy	50.0384	15.70523
Pardubice,Staré Srnojedy	50.03781	15.69685
Zolotonoša,AS	49.66949	32.04001
Velké Karlovice,Tísňavy,U Vojvodíků	49.35226	18.32961
Velké Karlovice,Tísňavy,výrobní zóna	49.34889	18.32502
Velké Karlovice,Tísňavy,hasičská zbrojnice	49.34318	18.32504
Velké Karlovice,Tísňavy,točna	49.34039	18.32667
Hevlín,CLO	48.75143	16.38017
Frýdek-Místek,Frýdek,frýdecký les	49.69354	18.38496
Frýdek-Místek,Místek,osmá ZŠ	49.67829	18.33534
Budapest,Kelenföld aut.áll.	47.47451	19.09858
Pécs,Autóbuszállomás	46.07043	18.23207
Harkany,Autóbuszállomás	45.85037	18.24321
Donji Miholjac,Autobusni kolodvor	45.75913	18.16606
Valpovo,Autobusni kolodvor	45.6573	18.41806
Osijek,Autobusni kolodvor	45.55343	18.68101
Dakovo,Autobusni kolodvor	45.30677	18.41631
Slavonski Brod,Autobusni kolodvor	45.16245	18.00981
Chisinau,aut.nádr.NORD	47.02512	28.86243
Velké Meziříčí,Výtahy	49.37056	16.01587
Petea,ZOLL	47.8530583	22.7770311
Cahul,aut.nádr.	45.90381	28.19473
Dolní Loučky,orlovna	49.36188	16.35394
Tišnovská Nová Ves,rozc.2.0	49.36792	16.31826
Mošnov,kulturní dům	49.6878	18.13223
Dorohusk,CLO	51.1721	23.78425
Jagodin,ZOLL	50.74452	13.75707
Koveľ,AS	51.55831	23.91196
Sarny,AS	50.54516	16.46167
Korostěň,AS	50.95227	28.63703
Pryluky,AS	50.58943	32.37402
Romny,AS	50.74939	33.47079
Nedryhailiv,AS	50.83632	33.88097
Sumy,AS	50.92223	34.80811
Újezdec,U Spojů	49.43288	17.46184
Göteborg,Nils Ericsson Terminalen	57.71021	11.97209
Subotica	46.09955	19.67078
Beograd	44.80838	20.3045
Pančevo	44.86968	20.61925
Světnov,u mostu	49.62135	15.92864
Jindřichův Hradec,OC Hvězdárna	49.13027	15.00371
Hajsyn,AS	48.79386	29.38066
Sarata,AS	46.02269	29.67608
Tatarbunary,AS	45.83551	29.62053
Izmail,AS	45.35603	28.81436
Horodenka,AS	48.66636	25.50115
Praha,Letiště	50.10596	14.27175
Horšovský Týn,Horní Metelsko,kaplička	49.5659	12.89325
Muzeum	50.07975	14.4304
Bratislava,Letisko-Airport	48.1705	17.19983
Charkov,AS	49.97932	36.24572
Chorol,AS	49.7921	33.30234
Kiev,AS Dačnaja	50.45568	30.43948
Zvjahel,AS	50.58754	27.60499
Ingolstadt,OB Esplanade	48.76657	11.43156
München,Busterminal Nord Fröttman.	48.13918	11.55712
Ludwigsburg,Bahnhofstraße 30	48.8915	9.187
Heilbronn,haltestelle Bahnhofstrasse	49.14249	9.20961
Heidelberg,Alte Eppelheimer Str/E-M-Str	49.40376	8.67304
Darmstadt,ZOB Zweifalltorweg	49.87212	8.63145
Mělník,koupaliště	50.25383	14.30825
Čechtice,Práchňany	49.60251	15.01636
Hradec Králové,Slezské Př.- nádraží	50.22114	15.85944
Zubří,výzk.ústav	49.46333	18.08286
Střítež n.Bečvou,lesní záv.	49.46582	18.07424
Hradište,rázc.-E572	48.68959	18.37728
Zlín,Podvesná XVI.	49.22843	17.69269
Zlín,Podvesná XII.	49.22876	17.68866
Zlín,Vodní	49.22843	17.66518
Svinaře,škola	49.89011	14.1861
Němčice,hrad Nový Herštejn	49.40773	13.06942
Vlčnov,Brodská	49.01017	17.58287
Popovice,dol.konec	49.04793	17.52484
Dobrkovice,rozc.1.0	49.09882	17.66078
Sarpsborg,Torsbekkveien	59.25125	11.23794
Ústí nad Labem,Chlumec přejezd	50.6905	13.94578
Ústí nad Labem,Zalužanská	50.69664	13.93306
Ústí nad Labem,Stradov	50.73905	13.83105
Ústí nad Labem,U Pomníku	51.00698	14.3767
Přezletice,Dolní náves	50.15527	14.57853
České Budějovice,Letiště České Budějovice-Terminál	48.9503	14.43544
Bílovice-Lutotín,Bílovice,rozc.	49.50804	17.04591
Obecnice,Oseč,Pod Třemošnou	49.68508	14.0058
Schladming,Lendplatz	47.39157	13.68378
Liezen,Bahnhof	47.5628	14.24192
Trenčín,SAD	48.89312	18.018
Zwardon,CLO Myto	49.50986	18.96311
Rzeszów,dw.aut.	50.04228	22.0038
Rozatín,AS	49.41139	24.60886
Staré Město,Bratří Mrštíků	49.07578	17.43021
Kiev,AS Vydubyči	50.44554	30.49921
Karlovy Vary,Tesco	50.31481	12.9454
Praha,Hotel Hilton	50.08857	14.43197
Okrouhlice,sokolovna	49.63084	15.48961
Cheb,Podhradská depo rozc.	50.06799	12.38734
Stará Ves n.Ondř.,Košatka,rest.Odra	49.73287	18.15719
Chmilnik,AS	49.55916	27.97312
Przemysl,ul.Czarnieckiego-WAGABUNDA	49.78405	22.77548
Katowice,dw.aut.	50.25826	19.01757
Benešov,aut.st.	49.77952	14.68378
Benešov,pivovar	49.78017	14.69192
Chotýšany,rozc.1.0	49.72905	14.83102
Černovcy,AS-1	48.26491	25.95203
Černovcy,AS-2	48.26481	25.95213
Hradec Králové,Křižovatka Běleč	50.21315	15.90904
Bor,Vysočany,CPI Park Mlýnec	49.70129	12.73562
Koblevo,AS	46.66598	31.20394
Kadaň,Komenského Studentské.nám.	50.37776	13.26813
Ostrožská Lhota,ulice Chříb	48.98075	17.46425
Těně,rozc.	49.76026	13.78231
Valtice,Úvaly,CLO	48.74151	16.70565
Ivančice,Řeznovice,hřbitov	49.08438	16.31468
Hranice,Trojmezí,návrší	50.30011	12.15425
Kuchařovice,H & M	48.87536	16.0813
Brno,CTPark Brno South	49.16055	16.70072
Brno,Letiště - logistický areál	49.15692	16.69894
Netunice,náves	49.61615	13.43051
Koryčany,přehrada	49.11713	17.18883
České Budějovice,Kněžské Dvory - škola	49.00046	14.47595
Loukov,křiž.	49.42291	17.72194
Gliwice,Przystanek Międzynarodowy ul. Pionierów 8	50.31527	18.65995
Nikolajev,AS	46.95545	32.03217
Užhorod,Haharina 38A	48.60076	22.31226
Mukačevo,Lavkivská 1E	48.44026	22.72219
Iršava,Ševčenka 145	48.30291	23.03154
Olomouc,Hřbitovy	49.59593	17.22299
Mezouň,Letník	50.00549	14.21919
Split,aut.kolodvor	43.50418	16.44278
Trogir,aut.kolodvor	43.51845	16.25186
Vodice,aut.kolodvor	43.75931	15.77853
Pirovac	43.81698	15.66743
Biograd na Moru,Motel	43.94625	15.45286
Zadar,aut.kolodvor	44.10622	15.24107
Kušnitsja,AS	48.73611	23.09579
Kolín,Kablo	50.03068	15.1953
Valašské Klobouky,záv.Igla	49.14059	18.01914
Ostrava,Heřmanice,kult.dům	49.8593	18.33046
Ivano-Frankovsk,Zaliznychna 30	48.92227	24.7247
Chornomorsk,AS	46.30198	30.65512
Ovidiopol,AS	46.24892	30.43411
Zatoka,AS	46.06342	30.4524
Ledce,Šternberk	50.00304	13.99935
Rovinj,aut.kolodvor	45.08069	13.63864
Poreč,aut.kolodvor	45.22449	13.59778
Umag,aut.kolodvor	45.4312	13.52937
Užhorod,žel.st.	48.43228	22.20544
Kravaře,Kouty,žel.st.	49.93094	18.03922
Lubawka,CLO	50.7063	16.00097
Mikolajiv,AS	46.96452	31.98808
Cheb,,Podhradská depo rozc.	50.06799	12.38734
Slavičín,ZŠ Vlára	49.09056	17.88118
Zywiec,dw.aut.	49.67826	19.18571
Žimutice,rozc.Břehy	49.20197	14.5103
Krmelín,Paskovská	49.73022	18.24308
Chust,ul.Lvivska	48.16843	23.29477
Buštyno	48.04588	23.48728
Tjačiv,Polova 2	48.02082	23.55154
Drahovo	48.23479	23.552
Dražovice,ZŠ	49.19368	16.94631
Novovolynsk,AS	50.72732	24.15185
Mižhirja,AS	48.52243	23.502
Siněvir,AS	48.58112	23.68893
Černigov,AS	51.49359	31.29478
Doubrava,CLO	49.95238	15.69168
Bad Elster,Wagenhalle	50.28842	12.24061
Adorf,Bahnhof	50.32396	12.26169
Markneukirchen,Zhst.	50.30014	12.33517
Kraslice,CLO	50.33061	12.50286
Velká n.Veličkou,záv.	48.88983	17.51283
Koloveč,Zichov	49.48553	13.13968
Strhaře,rozc.2.0	49.44608	16.43166
Velké Karlovice,Miloňov,hotel	49.38322	18.31492
Velké Karlovice,Miloňov,penzion	49.37726	18.30456
Velké Karlovice,Miloňov,U Malinů	49.37213	18.30846
Ostrov,Škoda 42	50.33164	12.95581
Terespol,CLO	52.07426	23.60256
Warszawa,dw.Wschodni	52.25232	21.05179
Nysa,dw.aut.	50.47784	17.34107
Hrebenne,CLO	50.29834	23.57648
Kiev,Naberezhno-Pechers'ka Rd	50.40191	30.55914
Charkov,AS Privokzalna	49.99046	36.20502
Kraków,Ul.Medweckiego 15	50.07591	20.01071
Przemysl,dw.aut.	49.78407	22.77533
Brno,U jezírka	49.26983	16.62912
Brno,U buku	49.27637	16.63033
Krásné,nad řekou	49.68359	16.14644
Považ.Bystrica,AS	49.09237	18.41643
Dolní Bousov,nádraží	50.44156	15.1323
Sieniawka,CLO Kopaczów	50.87315	14.95921
Zgorzelec,PKP	51.1468	15.0147
Legnica,dw.PKS	51.20603	16.18325
Čuhujiv,AS	49.83678	36.69445
Izjum,AS	49.18802	37.27749
Slavjansk,AS	48.84677	37.59353
Kramatorsk,AS	48.73647	37.57125
Kolín,Za Jízdárnou	50.01659	15.1946
Kolín,Zásmucká	50.01534	15.1924
